Format Name,File Extension(s),Category/Plan(s),NARA Format ID,MIME type(s),Specification/Standard URL,PRONOM URL,LOC URL,British Library URL,WikiData URL,ArchiveTeam URL,ForensicsWiki URL,Wikipedia URL,docs.fileformat.com,Other URL,Notes,NARA Risk Level,NARA Preservation Action,NARA Proposed Preservation Plan,Description and Justification,NARA Preferred Processing and Transformation Tool(s)
eXtensible Markup Language Schema,xsd,Web Records|Software and Code|Textual and Word Processing,NF00188,application/xml,http://www.w3.org/TR/xmlschema-0/,https://www.nationalarchives.gov.uk/PRONOM/x-fmt/280,https://www.loc.gov/preservation/digital/formats/fdd/fdd000077.shtml,,https://www.wikidata.org/wiki/Q16342,http://fileformats.archiveteam.org/wiki/XML_Schema_Definition,,https://en.wikipedia.org/wiki/XML_Schema_(W3C),,http://www.w3.org/TR/xmlschema-1,,Low Risk,Retain,Retain,"XSD (XML Schema Definition) can be used to express a set of rules to which an XML document must conform in order to be considered ""valid"" according to that schema, and express both a document's validity and information about specific encoded data types. XSD files are plain text. Web archives should never be migrated, as that would change the fundamental linkages and functionality of web objects. Uncompiled code that is plain text ASCII or Unicode does not require format migration.",Any supported text editor
eXtensible Markup Language unspecified version,xml,Web Records|Software and Code|Structured Data|Textual and Word Processing,NF00654,text/xml,,,,https://wiki.dpconline.org/images/0/0e/XML_Assessment_v1.3.pdf,https://www.wikidata.org/wiki/Q2115,http://fileformats.archiveteam.org/wiki/XML,,https://en.wikipedia.org/wiki/XML,https://docs.fileformat.com/web/xml/,,A number of XML files in NARA's holdings have only been identified by their extensions. NF00654 is currently a catch-all for these.,Low Risk,Identify Version,Retain,"Extensible Markup Language (XML) is a markup language that defines a set of rules for encoding documents in a format that is both human-readable and machine-readable. It is a plain text file that can be use to mark up data and content and provide information necessary for processing by external code for display and discovery. XML files are plain text. Web archives should never be migrated, as that would change the fundamental linkages and functionality of web objects. Uncompiled code that is plain text ASCII or Unicode does not require format migration.",Any supported text editor
eXtensible Metadata Platform,xmp,Structured Data,NF00189,,https://github.com/adobe/XMP-Toolkit-SDK/blob/main/docs/XMPSpecificationPart1.pdf,https://www.nationalarchives.gov.uk/PRONOM/fmt/986,,,https://www.wikidata.org/wiki/Q50375253,http://fileformats.archiveteam.org/wiki/XMP,,https://en.wikipedia.org/wiki/Extensible_Metadata_Platform,,,,Moderate Risk,Retain,Retain,"XMP is marked-up plain text Unicode/XML files which can separately or in combination be used to represent, parse, format, and display structured data. It is usually displayed as text using XML, which is considered a preferred format as per NARA Transfer Guidance.",Any supported text editor
eXtensible Style Language 1.0,xsl|xslt,Web Records|Software and Code|Textual and Word Processing,NF00190,text/xsl,https://www.w3.org/TR/xslt-10,https://www.nationalarchives.gov.uk/PRONOM/x-fmt/281,,,https://www.wikidata.org/wiki/Q32061,http://fileformats.archiveteam.org/wiki/XSL,,https://en.wikipedia.org/wiki/XSL,,,,Low Risk,Retain,Retain,"XSL (also called XSLT) is used to control and look and feel/rendering of HTML or xHTML. It is a plain text format, easily machine and human readable, and a stable and well-documented open format. In addition, XSL and web archives in general should never be migrated, as that would change the fundamental linkages and functionality of web objects. Web archives in general should never be migrated, as that would change the fundamental linkages and functionality of web objects. Uncompiled code that is plain text ASCII or Unicode does not require format migration.",Any supported text editor
eXtensible Style Language 2.0,xsl|xslt,Web Records|Software and Code|Textual and Word Processing,NF00562,text/xsl,https://www.w3.org/TR/xslt-20,https://www.nationalarchives.gov.uk/PRONOM/x-fmt/281,,,https://www.wikidata.org/wiki/Q32061,http://fileformats.archiveteam.org/wiki/XSL,,https://en.wikipedia.org/wiki/XSL,,,,Low Risk,Retain,Retain,"XSL (also called XSLT) is used to control and look and feel/rendering of HTML or xHTML. It is a plain text format, easily machine and human readable, and a stable and well-documented open format. In addition, XSL and web archives in general should never be migrated, as that would change the fundamental linkages and functionality of web objects. Web archives in general should never be migrated, as that would change the fundamental linkages and functionality of web objects. Uncompiled code that is plain text ASCII or Unicode does not require format migration.",Any supported text editor
eXtensible Style Language 3.0,xsl|xslt,Web Records|Software and Code|Textual and Word Processing,NF00563,text/xsl,https://www.w3.org/TR/xslt-30,https://www.nationalarchives.gov.uk/PRONOM/x-fmt/281,,,https://www.wikidata.org/wiki/Q32061,http://fileformats.archiveteam.org/wiki/XSL,,https://en.wikipedia.org/wiki/XSL,,,,Low Risk,Retain,Retain,"XSL (also called XSLT) is used to control and look and feel/rendering of HTML or xHTML. It is a plain text format, easily machine and human readable, and a stable and well-documented open format. In addition, XSL and web archives in general should never be migrated, as that would change the fundamental linkages and functionality of web objects. Web archives in general should never be migrated, as that would change the fundamental linkages and functionality of web objects. Uncompiled code that is plain text ASCII or Unicode does not require format migration.",Any supported text editor
eXtensible Style Language unspecified version,xsl|xslt,Web Records|Software and Code|Textual and Word Processing,NF00850,text/xsl,,,,,,http://fileformats.archiveteam.org/wiki/XSL,,https://en.wikipedia.org/wiki/XSL,,,A number of XSL files in NARA's holdings have only been identified by their extensions. NF00850 is currently a catch-all for these.,Low Risk,Identify Version,Retain,"XSL (also called XSLT) is used to control and look and feel/rendering of HTML or xHTML. It is a plain text format, easily machine and human readable, and a stable and well-documented open format. In addition, XSL and web archives in general should never be migrated, as that would change the fundamental linkages and functionality of web objects. Web archives in general should never be migrated, as that would change the fundamental linkages and functionality of web objects. Uncompiled code that is plain text ASCII or Unicode does not require format migration.",Any supported text editor
FileMaker Pro 3,fp3|fmp|fp|fm,Databases,NF00857,application/x-filemaker,,https://www.nationalarchives.gov.uk/PRONOM/x-fmt/318,,,https://www.wikidata.org/wiki/Q27996235,http://fileformats.archiveteam.org/wiki/FileMaker_Pro,,https://en.wikipedia.org/wiki/FileMaker,,https://support.claris.com/s/article/FileMaker-conversion-path-for-all-versions-1503693004200?language=en_US,,Moderate Risk,Transform,Transform to CSV,"FileMaker Pro 3 (.fp3) is a relational database format. Originally released as Nutshell by Nashoba Systems in 1980, the program's name was changed to FileMaker in 1985. Claris, an Apple subsidiary, purchased Nashoba in 1988 and renamed the software to FileMaker II, then FileMaker Pro in 1990. FileMaker Pro 3 was released in 1995 and introduced TCP/IP (Transmission Control Protocol and Internet Protocol) networking. FileMaker Pro 3 is a proprietary file format and should be transformed into a CSV file for sustainability.","Procure and/or develop tools. Files can be converted to Filemaker Pro 7 using available trial versions of older software, then exported as CSV."
FileMaker Pro 5,fp5|fmp|fp|fm,Databases,NF00858,application/x-filemaker,,https://www.nationalarchives.gov.uk/PRONOM/x-fmt/319,,,https://www.wikidata.org/wiki/Q27996230,http://fileformats.archiveteam.org/wiki/FileMaker_Pro,,https://en.wikipedia.org/wiki/FileMaker,https://docs.fileformat.com/database/fp5/,https://support.claris.com/s/article/FileMaker-conversion-path-for-all-versions-1503693004200?language=en_US,,Moderate Risk,Transform,Transform to CSV,"FileMaker Pro 5 (.fp5) is a relational database format. Originally released as Nutshell by Nashoba Systems in 1980, the program's name was changed to FileMaker in 1985. Claris, an Apple subsidiary, purchased Nashoba in 1988 and renamed the software to FileMaker II, then FileMaker Pro in 1990. FileMaker Pro 5 was released in 1999. FileMaker Pro 5 is a proprietary file format and should be transformed into a CSV file for sustainability.","Procure and/or develop tools. Files can be converted to Filemaker Pro 7 using available trial versions of older software, then exported as CSV."
FileMaker Pro 7,fp7,Databases,NF00192,application/x-filemaker,,https://www.nationalarchives.gov.uk/PRONOM/fmt/194,,,https://www.wikidata.org/wiki/Q61752032,http://fileformats.archiveteam.org/wiki/FileMaker_Pro,,https://en.wikipedia.org/wiki/FileMaker,https://docs.fileformat.com/database/fp7/,https://support.claris.com/s/article/Converting-older-FileMaker-Pro-files-to-the-fmp12-file-format-1503693002275,,Moderate Risk,Transform,Transform to CSV,"FileMaker Pro 7 (.fp7) is a relational database format. Originally released as Nutshell by Nashoba Systems in 1980, the program's name was changed to FileMaker in 1985. Claris, an Apple subsidiary, purchased Nashoba in 1988 and renamed the software to FileMaker II, then FileMaker Pro in 1990. FileMaker Pro 7 was released in 2004 with an increase in file size and expansion of features like multiple tables per file. FileMaker Pro 7 is a proprietary file format and should be transformed into a CSV file for sustainability.",Microsoft Excel
