Format Name,File Extension(s),Category/Plan(s),NARA Format ID,MIME type(s),Specification/Standard URL,PRONOM URL,LOC URL,British Library URL,WikiData URL,ArchiveTeam URL,ForensicsWiki URL,Wikipedia URL,docs.fileformat.com,Other URL,Notes,Risk Level,Preservation Action,Proposed Preservation Plan,Description and Justification,Preferred Processing and Transformation Tool(s)
C/C++/Objective-C Header File,h|hpp|hxx,Software and Code,NF00732,text/plain,https://www.obj-sys.com/docs/acv70/CCppHTML/ch06s01.html,https://www.nationalarchives.gov.uk/pronom/fmt/1735,,,https://www.wikidata.org/wiki/Q29642901,,,https://en.wikipedia.org/wiki/C_(programming_language),https://docs.fileformat.com/programming/h/,,,Moderate Risk,Retain,Retain,"An H file is a header file referenced by a document written in C, C++, or Objective-C source code. It may contain variables, constants, and functions that are used by other files within a programming project. This is a plain text file. Code files should not be reformatted to avoind affecting functionality.",Any supported text editor
C# Code,cs,Software and Code,NF00138,text/x-csharp,https://www.microsoft.com/en-us/download/details.aspx?id=7029,,,,https://www.wikidata.org/wiki/Q2370,http://fileformats.archiveteam.org/wiki/C_Sharp,,https://en.wikipedia.org/wiki/C_Sharp_(programming_language),https://docs.fileformat.com/programming/cs/,,,Low Risk,Retain,Retain,"C# is a language derived from C, one of several C derivatives to add object-oriented features. C# was introduced by Microsoft in conjunction with the .NET application framework, but has since been approved as an international standard by Ecma (ECMA-334) in 2002 and ISO (ISO/IEC 23270) in 2003. CS files are plain text. Uncompiled code that is plain text ASCII or Unicode does not require format migration.",Any supported text editor
CALS Compressed Bitmap,cal|ct1|ct2,Digital Still Image,NF00139,image/x-cals,https://apps.dtic.mil/dtic/tr/fulltext/u2/a206066.pdf,https://www.nationalarchives.gov.uk/pronom/x-fmt/28,https://www.loc.gov/preservation/digital/formats/fdd/fdd000521.shtml,,https://www.wikidata.org/wiki/Q59715886,http://fileformats.archiveteam.org/wiki/CALS_raster,,https://en.wikipedia.org/wiki/CALS_Raster_file_format,,,,Moderate Risk,Transform,Transform to JPEG or JPEG2000,"The CALS raster format is a standard developed by the Computer Aided Acquisition and Logistics Support (CALS) office of the United States Department of Defense to standardize graphics data interchange for electronic publishing, especially in the areas of technical graphics, CAD/CAM, and image processing applications. It is not clear if these files are image related, textual, graphics, or a combination.",FME Desktop
Canon RAW 1.0,crw,Digital Still Image,NF00468,image/x-canon-crw|image/x-raw-canon,https://web.archive.org/web/20081230095207/http://xyrion.org/ciff/CIFFspecV1R04.pdf,https://www.nationalarchives.gov.uk/pronom/fmt/593,https://www.loc.gov/preservation/digital/formats/fdd/fdd000241.shtml,,https://www.wikidata.org/wiki/Q3651247,http://fileformats.archiveteam.org/wiki/Camera_Image_File_Format,,https://en.wikipedia.org/wiki/Camera_Image_File_Format,,http://exiftool.sourceforge.net/TagNames/Canon.html,,High Risk,Transform,Transform to DNG,"Preferable to convert from proprietary manufacturer file to Adobe DNG. However, there is some support for camera raw files from major camera manufacturers and there is some desire to retain the raw sensor data.",Adobe Photoshop with Camera RAW; Adobe DNG Converter; ExifTool
Canon RAW 2.0,cr2,Digital Still Image,NF00469,image/x-raw-canon|image/x-canon-cr2,http://lclevy.free.fr/cr2/,https://www.nationalarchives.gov.uk/pronom/fmt/592,https://www.loc.gov/preservation/digital/formats/fdd/fdd000241.shtml,,https://www.wikidata.org/wiki/Q27866048,http://fileformats.archiveteam.org/wiki/Canon_RAW_2,,,,,,High Risk,Transform,Transform to DNG,"Preferable to convert from proprietary manufacturer file to Adobe DNG. However, there is some support for camera raw files from major camera manufacturers and there is some desire to retain the raw sensor data.",Adobe Photoshop with Camera RAW; Adobe DNG Converter; ExifTool
Cascading Style Sheets 1.0,css,Web Records|Software and Code,NF00141,text/css,https://www.w3.org/TR/CSS1,https://www.nationalarchives.gov.uk/pronom/x-fmt/224,http://www.digitalpreservation.gov/formats/fdd/fdd000482.shtml,,https://www.wikidata.org/wiki/Q19942840,http://fileformats.archiveteam.org/wiki/Cascading_Style_Sheets,,https://en.wikipedia.org/wiki/Cascading_Style_Sheets,,,,Low Risk,Retain,Retain,"Cascading Style Sheets (CSS) is a style sheet language used for describing the presentation of a document written in a markup language like HTML. CSS files are plain text. Web archives should never be migrated, as that would change the fundamental linkages and functionality of web objects. Uncompiled code that is plain text ASCII or Unicode does not require format migration.",Any supported text editor
Cascading Style Sheets 2.0,css,Web Records|Software and Code,NF00543,text/css,https://www.w3.org/TR/1998/REC-CSS2-19980512/,https://www.nationalarchives.gov.uk/pronom/x-fmt/224,http://www.digitalpreservation.gov/formats/fdd/fdd000482.shtml,,https://www.wikidata.org/wiki/Q27826458,http://fileformats.archiveteam.org/wiki/Cascading_Style_Sheets,,https://en.wikipedia.org/wiki/Cascading_Style_Sheets,,,,Low Risk,Retain,Retain,"Cascading Style Sheets (CSS) is a style sheet language used for describing the presentation of a document written in a markup language like HTML. CSS files are plain text. Web archives should never be migrated, as that would change the fundamental linkages and functionality of web objects. Uncompiled code that is plain text ASCII or Unicode does not require format migration.",Any supported text editor
Cascading Style Sheets 2.1,css,Web Records|Software and Code,NF00544,text/css,https://www.w3.org/TR/CSS2/,https://www.nationalarchives.gov.uk/pronom/x-fmt/224,http://www.digitalpreservation.gov/formats/fdd/fdd000482.shtml,,https://www.wikidata.org/wiki/Q27826457,http://fileformats.archiveteam.org/wiki/Cascading_Style_Sheets,,https://en.wikipedia.org/wiki/Cascading_Style_Sheets,,,,Low Risk,Retain,Retain,"Cascading Style Sheets (CSS) is a style sheet language used for describing the presentation of a document written in a markup language like HTML. CSS files are plain text. Web archives should never be migrated, as that would change the fundamental linkages and functionality of web objects. Uncompiled code that is plain text ASCII or Unicode does not require format migration.",Any supported text editor
Cascading Style Sheets unspecified version,css,Web Records|Software and Code,NF00651,text/css,,https://www.nationalarchives.gov.uk/pronom/x-fmt/224,http://www.digitalpreservation.gov/formats/fdd/fdd000482.shtml,,https://www.wikidata.org/wiki/Q46441,http://fileformats.archiveteam.org/wiki/Cascading_Style_Sheets,,https://en.wikipedia.org/wiki/Cascading_Style_Sheets,,,A number of CSS files in NARA's holdings have only been identified by their extensions. NF00651 is currently a catch-all for these.,Low Risk,Identify Version,Retain,"Cascading Style Sheets (CSS) is a style sheet language used for describing the presentation of a document written in a markup language like HTML. CSS files are plain text. Web archives should never be migrated, as that would change the fundamental linkages and functionality of web objects. Uncompiled code that is plain text ASCII or Unicode does not require format migration.",Any supported text editor
CC:Mail archive,cca,Email,NF00772,,,,https://www.loc.gov/preservation/digital/formats/fdd/fdd000391.shtml,,,,,https://en.wikipedia.org/wiki/Cc:Mail,,https://fileinfo.com/extension/cca,,Moderate Risk,Retain,Retain,"cc:Mail is a discontinued store-and-forward LAN-based email system originally developed on DOS. CCA was the ASCII-based, native file format which contained all email message components, including attachments.",Any supported text editor
