NARA Guidance: Preferred,NARA Guidance: Acceptable,Numeric Risk Rating,Risk Level,NARA Format ID,Format Name,File Extension(s),Record Type/Plan(s),Is the format proprietary? ,Does the format have a published open specification?,Are there available tools that can validate the technical integrity of a file encoded in this format against the published specification? ,Has the specification been approved and published by an internationally recognized standards body? ,Is the available specification complete and accurate?,Total Disclosure Score. Highest possible score = 10; Lowest possible score = -6,Is the file format commonly used to create or maintain permanent records within the federal government?,Is the file format commonly used outside the federal government?,"Is the format actively maintained and updated by an organization, individual, or community?",Are multiple renderers available? ,Have the archives or library communities identified the format as one they prefer for creation and transfer of permanent materials?,Total Adoption Score: Highest possible score = 10; Lowest possible score = -6,Is the format human readable and can it be opened with a text editor?,Does the available specification provide enough detail to allow basic analysis of the file format with hex editors or other inspection tools?,Does the format rely on standard character or other encoding methods such as IEEE notations?,Is the source code of the software used to create the format available for little or no cost?,Is the software used to create the format supported by current computing environments?,Does the format require the use of compression?,Does the format support user-definable compression levels or other quality settings that affect essential characteristics?,Total Transparency Score. Highest possible score = 7; Lowest possible score = -7,Does the format support self-contained (embedded) descriptive metadata?,Does the format support self-contained technical metadata?,Does the format support self-contained administrative metadata?,Does the format metadata adhere to an international standard?,Is the format metadata robust enough for an accurate file analysis?,Total Self-Documentation Score. Highest possible score = 7; Lowest possible score = -5,"Does the format require a specific hardware environment, such as a specific graphics card, chipset, or memory requirements, to process or interact with it?","Does the format require specific playback hardware (e.g., Blu-Ray, Audio CD, etc) to transfer the format to the NARA environment?",Total External Hardware Dependencies Score. Highest possible score = 4; Lowest possible score = -8,Does the format rely on proprietary software to render or view files? ,"Does the format rely on plug-ins, scripts, etc. to render or view files?",Does the format rely on specific computing operating system(s) to render or view files?,Does the format rely on special tools to render or view files?,Total External Software Dependencies Score. Highest possible score = 4; Lowest possible score = -8,Is the format subject to patent claims that may impede the development of open source tools for opening and managing the files?,Have the patent claims expired?,Are there fees associated with the format as a result of patent claims?,Does the format have open source license terms?,Total Impact of Patents Score. Highest possible score = 4; Lowest possible score = -4,Does the format have capability to encrypt all or part of the resulting file?,Does the format require the use of encryption?,Does the format support robust encryption? ,Can technical protection measures (e.g. digital rights management) be applied?,Does the format allow for embedded information such as watermarking? ,Total Technical Protection Mechanisms Score. Highest possible score = 10; Lowest possible score = -6,When was the Format Specification First Created?,Risk Factor: Highest Possible score = 0; Lowest possible score = -4,When was the Format Specification last updated?,Risk Factor: Highest Possible score = 0; Lowest possible score = -4,Total Format Age Score. Highest possible score = 0; Lowest possible score = -8,Total Format Risk/Sustainability Factor Numeric Score ,Risk/Sustainability Factor Status,Number of identified files in the combined NARA holdings,Percentage of 2 billion files in NARA ERA holdings,Prevalence: Format Adoption Level as measured by Proportion of File Format in the Overall NARA Holdings,"Feasibility: Ability to Convert (tools exist for conversion that does not alter content in unacceptable ways; NARA can perform acceptable transformations) Highest possible score=5, Lowest possible score =-5",NARA TOTAL
X,,44,Low Risk,NF00429,"American Standard Code for Information Interchange (ASCII), Extended, Variable-width encoding Unicode (Universal Coded Character Set) Transformation Format (UTF)",txt; utf; utf8; utf16,Textual and Word Processing,2,2,0,2,2,8,2,2,2,2,2,10,1,1,1,1,1,1,1,7,-1,1,-1,2,0,1,2,2,4,1,1,1,1,4,1,1,1,1,4,2,2,2,2,2,10,1993,-4,2017,0,-4,44,Low Risk,45,0,-5,5,44
,,-6,Moderate Risk,NF00110,Apple Macintosh Desktop Services Store,DS_STORE,Software and Code,-1,-1,0,-2,0,-4,-2,0,2,-1,-1,-2,-1,0,0,-1,1,1,1,1,-1,0,0,0,0,-1,2,2,4,-2,1,-2,-2,-5,0,0,0,-1,-1,2,2,2,0,2,8,1984,-4,2012,-2,-6,-6,Moderate Risk,71,0,-5,5,-6
,X,25,Low Risk,NF00115,Audio Interchange Format (AIFF),aiff; aif; x-aiff; x-pn-aiff; ief,Digital Audio,-1,2,2,2,2,7,-1,2,2,2,1,6,1,1,1,1,1,1,-1,5,1,1,1,-1,2,4,2,2,4,1,1,1,1,4,1,0,1,0,2,-1,2,-1,-1,2,1,1988,-4,1989,-4,-8,25,Low Risk,1216,0,-5,5,25
,X,29,Low Risk,NF00116,Audio Interchange Format with LPCM Audio,aiff_LPCM,Digital Audio,-1,2,2,2,2,7,-1,2,2,2,1,6,1,1,1,0,1,1,-1,4,1,1,1,-1,2,4,2,2,4,1,1,1,1,4,1,0,0,0,1,2,2,2,-1,2,7,1982,-4,1988,-4,-8,29,Low Risk,1216,0,-5,5,29
,X,28,Low Risk,NF00117,Audio Video Interleaved Format (AVI),avi,Digital Video,-1,2,2,2,2,7,2,2,-1,2,2,7,-1,-1,1,1,1,1,1,3,1,1,1,-1,2,4,2,2,4,1,-2,1,-2,-2,1,0,1,1,3,2,2,2,0,2,8,1992,-4,2006,-2,-6,28,Low Risk,5998,0,-5,5,28
,,-11,Moderate Risk,NF00122,AutoCAD component: Block Attribute Template,bkl,Digital Design,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,-1,-1,-1,-1,-1,1,1,-3,-1,-1,-1,-1,-1,-5,2,2,4,-2,-2,1,1,-2,-1,0,0,0,-1,0,0,0,0,0,0,2002,-4,2002,-4,-8,-11,Moderate Risk,25,0,-5,-3,-19
,,-11,Moderate Risk,NF00123,AutoCAD component: Colour-Dependant Plot Style Table,ctb,Digital Design,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,-1,-1,-1,-1,-1,1,1,-3,-1,-1,-1,-1,-1,-5,2,2,4,-2,-2,1,1,-2,-1,0,0,0,-1,0,0,0,0,0,0,2002,-4,2002,-4,-8,-11,Moderate Risk,1,0,-5,-3,-19
,,-11,Moderate Risk,NF00124,AutoCAD component: Compiled Menu,mnc,Digital Design,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,-1,-1,-1,-1,-1,1,1,-3,-1,-1,-1,-1,-1,-5,2,2,4,-2,-2,1,1,-2,-1,0,0,0,-1,0,0,0,0,0,0,2002,-4,2002,-4,-8,-11,Moderate Risk,2,0,-5,-3,-19
,,-11,Moderate Risk,NF00125,AutoCAD component: Custom Dictionary,cus,Digital Design,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,-1,-1,-1,-1,-1,1,1,-3,-1,-1,-1,-1,-1,-5,2,2,4,-2,-2,1,1,-2,-1,0,0,0,-1,0,0,0,0,0,0,2002,-4,2002,-4,-8,-11,Moderate Risk,1,0,-5,-3,-19
,,-11,Moderate Risk,NF00126,AutoCAD component: dbConnect Template Set,dbt,Digital Design; Databases,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,-1,-1,-1,-1,-1,1,1,-3,-1,-1,-1,-1,-1,-5,2,2,4,-2,-2,1,1,-2,-1,0,0,0,-1,0,0,0,0,0,0,2001,-4,2001,-4,-8,-11,Moderate Risk,166,0,-5,-3,-19
,,-11,Moderate Risk,NF00127,AutoCAD component: Linetype Definition File,lin,Digital Design,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,-1,-1,-1,-1,-1,1,1,-3,-1,-1,-1,-1,-1,-5,2,2,4,-2,-2,1,1,-2,-1,0,0,0,-1,0,0,0,0,0,0,,-4,,-4,-8,-11,Moderate Risk,6,0,-5,-3,-19
,,-11,Moderate Risk,NF00128,AutoCAD component: Named Plot Style Table,stb,Digital Design,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,-1,-1,-1,-1,-1,1,1,-3,-1,-1,-1,-1,-1,-5,2,2,4,-2,-2,1,1,-2,-1,0,0,0,-1,0,0,0,0,0,0,2002,-4,2002,-4,-8,-11,Moderate Risk,1,0,-5,-3,-19
,,-11,Moderate Risk,NF00132,AutoCAD component: Script,scr,Digital Design,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,-1,-1,-1,-1,-1,1,1,-3,-1,-1,-1,-1,-1,-5,2,2,4,-2,-2,1,1,-2,-1,0,0,0,-1,0,0,0,0,0,0,2002,-4,2002,-4,-8,-11,Moderate Risk,103,0,-5,-3,-19
,,-6,Moderate Risk,NF00118,AutoCAD Drawing (2000-2002),dwg,Digital Design,-1,-1,2,-2,-1,-3,2,2,2,2,2,10,-1,-1,-1,-1,-1,,,-5,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,-1,0,0,0,-1,,,,,,0,2001,-4,2001,-4,-8,-6,Moderate Risk,203,0,-5,-3,-14
,,-6,Moderate Risk,NF00119,AutoCAD Drawing (2004-2005),dwg,Digital Design,-1,-1,2,-2,-1,-3,2,2,2,2,2,10,-1,-1,-1,-1,-1,,,-5,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,-1,0,0,0,-1,,,,,,0,2004,-4,2004,-4,-8,-6,Moderate Risk,73,0,-5,-3,-14
,,-2,Moderate Risk,NF00120,AutoCAD Drawing (2007-2008),dwg,Digital Design,-1,-1,2,-2,-1,-3,2,2,2,2,2,10,-1,-1,-1,-1,-1,,,-5,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,-1,0,0,0,-1,,,,,,0,2005,-2,2005,-2,-4,-2,Moderate Risk,55,0,-5,-3,-10
,,-2,Moderate Risk,NF00121,AutoCAD Drawing (2010-2012),dwg,Digital Design,-1,-1,2,-2,-1,-3,2,2,2,2,2,10,-1,-1,-1,-1,-1,,,-5,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,-1,0,0,0,-1,,,,,,0,2007,-2,2007,-2,-4,-2,Moderate Risk,33,0,-5,-3,-10
,,-2,Moderate Risk,NF00129,AutoCAD Drawing (R10),dwg,Digital Design,-1,-1,2,-2,-1,-3,2,2,2,2,2,10,-1,-1,-1,-1,-1,,,-5,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,-1,0,0,0,-1,,,,,,0,2009,-2,2009,-2,-4,-2,Moderate Risk,1,0,-5,-3,-10
,,-2,Moderate Risk,NF00130,AutoCAD Drawing (R11/12),dwg,Digital Design,-1,-1,2,-2,-1,-3,2,2,2,2,2,10,-1,-1,-1,-1,-1,,,-5,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,-1,0,0,0,-1,,,,,,0,2010,-2,2010,-2,-4,-2,Moderate Risk,29,0,-5,-3,-10
,,-2,Moderate Risk,NF00131,AutoCAD Drawing (R14),dwg,Digital Design,-1,-1,2,-2,-1,-3,2,2,2,2,2,10,-1,-1,-1,-1,-1,,,-5,1,1,1,-1,-1,1,2,0,2,-2,-2,1,1,-2,-1,0,0,0,-1,,,,,,0,2013,-2,2013,-2,-4,-2,Moderate Risk,45,0,-5,-3,-10
,,1,Moderate Risk,NF00133,AutoDesk Revit Template,rte,Digital Design,-1,-1,0,-2,-1,-5,2,2,2,0,-1,5,-1,0,0,0,0,0,0,-1,1,1,-1,0,0,1,2,2,4,1,0,0,-2,-1,1,1,1,-1,2,0,0,0,0,0,0,2000,-4,2018,0,-4,1,Moderate Risk,3232,0,-5,-3,-7
,,1,Moderate Risk,NF00134,Batch Script,bat; cmd; btm,Software and Code,2,-1,2,-2,0,1,0,2,0,2,-1,3,1,0,1,1,1,1,-1,4,-1,-1,-1,0,0,-3,2,2,4,-2,-2,-2,-2,-8,0,0,0,0,0,2,2,2,0,2,8,1982,-4,1982,-4,-8,1,Moderate Risk,8283,0,-5,5,1
,,-21,High Risk,NF00135,Binary file,bin,Software and Code,0,-1,-1,-2,-1,-5,2,2,0,0,-1,3,-1,0,0,0,1,-1,-1,-2,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-8,0,0,0,0,0,-1,0,-1,-1,2,-1,,-4,,-4,-8,-21,High Risk,6543,0,-5,5,-21
X,,47,Low Risk,NF00136,Broadcast Wave (BWF) v. 0,wav,Digital Audio,-1,2,2,2,2,7,2,2,2,2,2,10,1,1,1,1,1,1,1,7,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,1,4,2,2,2,2,2,10,1991,-4,2012,-2,-6,47,Low Risk,6,0,-5,5,47
X,,45,Low Risk,NF00539,Broadcast Wave (BWF) v. 1,wav,Digital Audio,-1,2,2,2,2,7,2,2,2,2,2,10,1,1,1,1,1,1,1,7,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,1,4,2,2,2,2,2,10,2001,-4,2003,-4,-8,45,Low Risk,6,0,-5,5,45
X,,49,Low Risk,NF00540,Broadcast Wave (BWF) v. 2,wav,Digital Audio,-1,2,2,2,2,7,2,2,2,2,2,10,1,1,1,1,1,1,1,7,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,1,4,2,2,2,2,2,10,2011,-2,2012,-2,-4,49,Low Risk,6,0,-5,5,49
,,1,Moderate Risk,NF00137,Btrieve 5.1,btr,Databases,-1,-1,2,-2,0,-2,2,2,-1,0,-1,2,-1,1,1,0,1,0,0,2,1,1,0,0,2,4,2,2,4,-2,0,-2,-2,-6,0,0,0,0,0,-1,2,-1,-1,2,1,1982,-4,2016,0,-4,1,Moderate Risk,582,0,-5,-5,-9
,,1,Moderate Risk,NF00541,Btrieve 6.0,btr,Databases,-1,-1,2,-2,0,-2,2,2,-1,0,-1,2,-1,1,1,0,1,0,0,2,1,1,0,0,2,4,2,2,4,-2,0,-2,-2,-6,0,0,0,0,0,-1,2,-1,-1,2,1,1992,-4,2016,0,-4,1,Moderate Risk,582,0,-5,-5,-9
,,1,Moderate Risk,NF00542,Btrieve 6.1,btr,Databases,-1,-1,2,-2,0,-2,2,2,-1,0,-1,2,-1,1,1,0,1,0,0,2,1,1,0,0,2,4,2,2,4,-2,0,-2,-2,-6,0,0,0,0,0,-1,2,-1,-1,2,1,1995,-4,2016,0,-4,1,Moderate Risk,582,0,-5,-5,-9
,,23,Low Risk,NF00138,C# Code,cs,Software and Code,-1,2,2,-2,2,3,-2,2,2,2,-1,3,1,1,0,-1,1,1,1,4,-1,1,-1,0,0,-1,2,2,4,1,1,1,1,4,0,0,0,0,0,2,2,2,2,2,10,2000,-4,2018,0,-4,23,Low Risk,68939,0.003,-5,5,23
,,23,Low Risk,NF00139,CALS Compressed Bitmap,cal; ct1; ct2,Digital Still Image,2,2,2,0,2,8,2,2,2,0,-1,5,0,1,1,1,1,0,0,4,0,1,0,1,1,3,2,2,4,1,1,1,1,4,1,1,1,-1,2,-1,0,0,0,0,-1,1988,-4,2010,-2,-6,23,Low Risk,7257,0,-5,3,21
