NARA Transfer Guidance: Preferred,NARA Transfer Guidance: Acceptable,Numeric Risk Rating,Risk Level,NARA Format ID,Format Name,File Extension(s),Category/Plan(s),1.1: Is the format proprietary?,1.2: Does the format have a published open specification?,"1.3: If there is a published specification, has it been approved and published by an internationally recognized standards organization?","1.4: When was the format specification for this version last updated (or, if the last updated date is not available, when was it created)?",1: TOTAL Disclosure Score,2.1: Has the file format commonly been used to create or maintain permanent records within the federal government at any point in time?,"2.2: Is the format, or format family, actively maintained and updated by an organization or community?",2.3: Have the archives or library communities identified the format as one to avoid for creation and transfer of permanent materials?,2: TOTAL Adoption Score,"3.1: Is the format character-based, rather than binary?",3.2: Is there an internal signature in an authoritative format registry that can be used to identify a file in this format?,3.3: Does the format require the use of compression?,"3.4: If the format requires the use of compression, can it be lossy?",3.5: Does this format support declared or hidden embedded data?,"3.6: If the format supports declared or hidden embedded data, does the format list or provide standard information about embedded data?",3: TOTAL Transparency Score,4.1: Does the format natively include metadata that documents the file and the technical environment used to create (and/or modify) it?,4.2: Does the format support adding embedded descriptive and administrative metadata through manual or automated processes?,4: TOTAL Self-Documentation Score,"5.1: Does the format require a specific hardware environment, such as a specific graphics card, chipset, or memory requirements, to process or interact with it?","5.2: Does the format require specific playback hardware (e.g., Blu-Ray, Audio CD, etc) to transfer the format to the NARA environment?",5: TOTAL External Hardware Dependencies Score,6.1: Are renderers available?,"6.2: If renderers are available, is at least one of them open source?","6.3: Does the format rely on plug-ins and/or scripts, etc. to render or execute files?",6.4: Can the format be rendered or executed in more than one computing operating system?,6.5: Is there software supported by current computing environments that can create the format?,6: TOTAL External Software Dependencies Score,7.1: Is the format subject to patent claims that may impede the development of open source tools for opening and managing the files?,7.2: Does the format have open source license terms?,7: TOTAL Impact of Patents Score,8.1: Does the format require the use of encryption?,"8.2: If the format requires the use of encryption, is it robust (cryptographically secure)?",8.3: Does the format natively allow the use of technical protection measures (e.g. digital rights management)?,8: TOTAL Technical Protection Mechanisms Score,TOTAL Numeric Risk Rating,Risk Level,Percentage of 2 billion files in NARA ERA holdings,Prevalence: Format Adoption Level as measured by Proportion of File Format in the Overall NARA Holdings,Feasibility Score,NARA TOTAL
,,-15.00,Moderate Risk,NF00697,Adobe Photoshop Duotone Options,ado,Software and Code,Yes,Yes,No,2019,0,Yes,Yes,Yes,2,Unknown,No,Unknown,Unknown,Unknown,Unknown,-7,Unknown,Unknown,-3,No,No,4,Yes,No,Unknown,Yes,Yes,0,Unknown,Unknown,-4,Unknown,Unknown,Unknown,-7,-15.00,Moderate Risk,0.002,-5,No transformation is needed,-20.00
,,-6.00,Moderate Risk,NF00818,Adobe Premiere Pro Project,prproj,Digital Video,Yes,No,N/A,2022,-3,Yes,Yes,No,5,Yes,No,Yes,No,Unknown,Unknown,-4,Yes,Yes,3,No,No,4,Yes,No,Unknown,Yes,Yes,0,Unknown,No,-4,Unknown,Unknown,Unknown,-7,-6.00,Moderate Risk,0.000,-5,Transformation already performed at NARA,-8.00
,,-5.00,Moderate Risk,NF00538,Adobe Type 1 PostScript Adobe Font Metrics or Printer Font Metrics File,pfm|afm,Software and Code,Yes,Yes,No,1990,0,Yes,No,Yes,-1,No,Yes,No,N/A,No,N/A,3,No,No,-3,No,No,4,Yes,No,Yes,Yes,No,-2,No,No,0,Yes,No,Yes,-6,-5.00,Moderate Risk,0.001,-5,Preferred/Acceptable Format as per Transfer Guidance,-5.00
,,-5.00,Moderate Risk,NF00386,Adobe Type 1 PostScript Printer Font Binary,pfb,Software and Code,Yes,Yes,No,1990,0,Yes,No,Yes,-1,No,Yes,No,N/A,No,N/A,3,No,No,-3,No,No,4,Yes,No,Yes,Yes,No,-2,No,No,0,Yes,No,Yes,-6,-5.00,Moderate Risk,0.000,-5,Preferred/Acceptable Format as per Transfer Guidance,-5.00
,,20.00,Moderate Risk,NF00106,Advanced Audio Coding (AAC) MPEG-2 Audio,aac,Digital Audio,No,Yes,Yes,2017,6,Unknown,Yes,No,3,No,No,Yes,Yes,No,N/A,-4,Yes,Yes,3,No,No,4,Yes,Yes,No,Yes,Yes,8,Yes,No,-4,No,N/A,No,4,20.00,Moderate Risk,0.000,-5,No transformation is needed,15.00
,,16.00,Moderate Risk,NF00108,Advanced Audio Coding (AAC) MPEG-4 Low Complexity Object,aac|mp4|m4a,Digital Audio,No,Yes,Yes,2020,6,Unknown,Yes,No,3,No,No,Yes,Yes,No,N/A,-4,Yes,Yes,3,No,No,4,Yes,Yes,No,Yes,Yes,8,Yes,No,-4,No,N/A,Yes,0,16.00,Moderate Risk,0.000,-5,No transformation is needed,11.00
,,13.00,Moderate Risk,NF00392,Advanced Audio Coding (AAC) QuickTime,qta|aac|m4p|mp3,Digital Audio,Yes,Yes,Yes,2020,3,Unknown,Yes,No,3,No,No,Yes,Yes,No,N/A,-4,Yes,Yes,3,No,No,4,Yes,Yes,No,Yes,Yes,8,Yes,No,-4,No,N/A,Yes,0,13.00,Moderate Risk,0.000,-5,Transformation already performed at NARA,11.00
,,20.00,Moderate Risk,NF00107,"Advanced Audio Coding (AAC) with MPEG-4, V.2",aac,Digital Audio,No,Yes,Yes,2020,6,Unknown,Yes,No,3,No,No,Yes,Yes,No,N/A,-4,Yes,Yes,3,No,No,4,Yes,Yes,No,Yes,Yes,8,No,No,0,No,N/A,Yes,0,20.00,Moderate Risk,0.000,-5,No transformation is needed,15.00
,,20.00,Moderate Risk,NF00109,Advanced Systems Format unspecified version,asf,Digital Video|Digital Audio,Yes,Yes,No,2004,0,Yes,Yes,No,5,No,Yes,No,N/A,Unknown,Unknown,0,Yes,Yes,3,No,No,4,Yes,Yes,No,Yes,Yes,8,Yes,No,-4,No,N/A,No,4,20.00,Moderate Risk,0.002,-5,Transformation already performed at NARA,18.00
X,,33.00,Low Risk,NF00113,American Standard Code for Information Interchange (ASCII) 7-bit Text,txt|asc|csv|tab,Textual and Word Processing,No,Yes,Yes,2020,6,Unknown,Yes,No,3,Yes,No,No,N/A,No,N/A,1,Yes,Yes,3,No,No,4,Yes,Yes,No,Yes,Yes,8,No,Yes,4,No,N/A,No,4,33.00,Low Risk,0.000,-5,Preferred/Acceptable Format as per Transfer Guidance,33.00
,,33.00,Low Risk,NF00114,American Standard Code for Information Interchange (ASCII) 8-bit Text,txt|asc|csv|tab,Textual and Word Processing,No,Yes,Yes,2020,6,Unknown,Yes,No,3,Yes,No,No,N/A,No,N/A,1,Yes,Yes,3,No,No,4,Yes,Yes,No,Yes,Yes,8,No,Yes,4,No,N/A,No,4,33.00,Low Risk,0.000,-5,No transformation is needed,28.00
,,33.00,Low Risk,NF00846,American Standard Code for Information Interchange (ASCII) unspecified version,asc,Textual and Word Processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.00,Low Risk,0.000,-5,No transformation is needed,28.00
,,-29.00,High Risk,NF00819,Apple Final Cut Pro Project,fcp,Digital Video,Yes,No,N/A,2012,-3,Yes,No,No,2,No,No,Unknown,Unknown,Unknown,Unknown,-7,Unknown,Unknown,-3,No,No,4,Unknown,N/A,Unknown,No,No,-11,Unknown,No,-4,Unknown,Unknown,Unknown,-7,-29.00,High Risk,0.000,-5,Acceptable tools exist but NARA does not have them,-37.00
,,-1.00,Moderate Risk,NF00110,Apple Macintosh Desktop Services Store,DS_STORE,Software and Code,Yes,Yes,No,0,0,Unknown,Yes,Yes,0,No,Yes,No,N/A,Unknown,Unknown,0,Yes,No,1,Yes,No,-4,Yes,No,No,No,Yes,2,Unknown,No,-4,No,N/A,No,4,-1.00,Moderate Risk,0.000,-5,No transformation is needed,-6.00
,,17.00,Moderate Risk,NF00856,Apple Mail Email File,emlx,Email,Yes,No,N/A,0,-3,Yes,Yes,No,5,Yes,No,No,N/A,Yes,Yes,0,Yes,Yes,3,No,No,4,Yes,Yes,No,Yes,Yes,8,Unknown,No,-4,No,N/A,No,4,17.00,Moderate Risk,0.000,-5,No transformation is needed,12.00
,,-29.00,High Risk,NF00815,Apple Soundtrack Pro Project,stmp,Digital Audio,Yes,No,N/A,2009,-3,Yes,Unknown,No,2,No,No,Unknown,Unknown,Unknown,Unknown,-7,Unknown,Unknown,-3,No,No,4,Unknown,N/A,Unknown,No,Unknown,-11,Unknown,No,-4,Unknown,Unknown,Unknown,-7,-29.00,High Risk,0.000,-5,Acceptable tools exist but NARA does not have them,-37.00
,,9.00,Moderate Risk,NF00780,Apple Video file,m4v,Digital Video,Yes,No,N/A,2020,-3,Yes,Yes,No,5,No,No,Yes,Yes,No,N/A,-4,Yes,Yes,3,No,No,4,Yes,Yes,No,Yes,Yes,8,Unknown,No,-4,No,N/A,Yes,0,9.00,Moderate Risk,0.000,-5,Transformation already performed at NARA,7.00
,,-9.00,Moderate Risk,NF00720,Archicad Template File,tpl,Digital Design and Vector Graphics,Yes,No,N/A,2022,-3,Yes,Yes,No,5,No,No,Unknown,Unknown,Unknown,Unknown,-7,Unknown,Unknown,-3,No,No,4,Yes,No,No,Yes,Yes,6,Unknown,No,-4,Unknown,Unknown,Unknown,-7,-9.00,Moderate Risk,0.000,-5,No transformation is needed,-14.00
,,-33.00,High Risk,NF00735,ASP.NET HTTP Handler File,axd,Software and Code,Yes,No,N/A,0,-3,Yes,No,Unknown,-1,No,No,Unknown,Unknown,Unknown,Unknown,-7,Unknown,Unknown,-3,Unknown,No,-4,Yes,Unknown,Unknown,Unknown,Yes,-4,Unknown,Unknown,-4,Unknown,Unknown,Unknown,-7,-33.00,High Risk,0.000,-5,No transformation is needed,-38.00
