NARA Transfer Guidance: Preferred,NARA Transfer Guidance: Acceptable,Numeric Risk Rating,Risk Level,NARA Format ID,Format Name,File Extension(s),Category/Plan(s),Is the format proprietary?,Does the format have a published open specification?,Are there available tools that can validate the technical integrity of a file encoded in this format against the published specification?,Has the specification been approved and published by an internationally recognized standards body?,Is the available specification complete and accurate?,Total Disclosure Score. Highest possible score = 10; Lowest possible score = -6,Is the file format commonly used to create or maintain permanent records within the federal government?,Is the file format commonly used outside the federal government?,"Is the format actively maintained and updated by an organization, individual, or community?",Are multiple renderers available?,Have the archives or library communities identified the format as one they prefer for creation and transfer of permanent materials?,Total Adoption Score: Highest possible score = 10; Lowest possible score = -6,Is the format human readable and can it be opened with a text editor?,Does the available specification provide enough detail to allow basic analysis of the file format with hex editors or other inspection tools?,Does the format rely on standard character or other encoding methods such as IEEE notations?,Is the source code of the software used to create the format available for little or no cost?,Is the software used to create the format supported by current computing environments?,Does the format require the use of compression?,Does the format support user-definable compression levels or other quality settings that affect significant properties?,Total Transparency Score. Highest possible score = 7; Lowest possible score = -7,Does the format support self-contained (embedded) descriptive metadata?,Does the format support self-contained technical metadata?,Does the format support self-contained administrative metadata?,Does the format metadata adhere to an international standard?,Is the format metadata robust enough for an accurate file analysis?,Total Self-Documentation Score. Highest possible score = 7; Lowest possible score = -5,"Does the format require a specific hardware environment, such as a specific graphics card, chipset, or memory requirements, to process or interact with it?","Does the format require specific playback hardware (e.g., Blu-Ray, Audio CD, etc) to transfer the format to the NARA environment?",Total External Hardware Dependencies Score. Highest possible score = 4; Lowest possible score = -8,Does the format rely on proprietary software to render or view files?,"Does the format rely on plug-ins, scripts, etc. to render or view files?",Does the format rely on specific computing operating system(s) to render or view files?,Does the format rely on special tools to render or view files?,Total External Software Dependencies Score. Highest possible score = 4; Lowest possible score = -8,Is the format subject to patent claims that may impede the development of open source tools for opening and managing the files?,Have the patent claims expired?,Are there fees associated with the format as a result of patent claims?,Does the format have open source license terms?,Total Impact of Patents Score. Highest possible score = 4; Lowest possible score = -4,Does the format have capability to encrypt all or part of the resulting file?,Does the format require the use of encryption?,Does the format support robust encryption?,Can technical protection measures (e.g. digital rights management) be applied?,Does the format allow for embedded information such as watermarking?,Total Technical Protection Mechanisms Score. Highest possible score = 10; Lowest possible score = -6,When was the Format Specification First Created?,Risk Factor: Highest Possible score = 0; Lowest possible score = -4,When was the Format Specification last updated?,Risk Factor: Highest Possible score = 0; Lowest possible score = -4,Total Format Age Score. Highest possible score = 0; Lowest possible score = -8,Total Format Risk/Sustainability Factor Numeric Score,Risk/Sustainability Factor Status,Percentage of 2 billion files in NARA ERA holdings,Prevalence: Format Adoption Level as measured by Proportion of File Format in the Overall NARA Holdings,"Feasibility: Ability to Convert (tools exist for conversion that does not alter content in unacceptable ways; NARA can perform acceptable transformations) Highest possible score=5, Lowest possible score =-5",NARA TOTAL
,,3.00,Moderate Risk,NF00824,Adobe Illustrator 11.0,ai|pdf,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,1,1,0,-1,1,0,0,2,1,1,1,0,0,3,2,2,4,-2,1,1,-2,-2,0,0,0,-1,-1,0,2,0,0,-1,1,2003,-4,,-4,-8,3.00,Moderate Risk,0.001,-5,3,1
,,3.00,Moderate Risk,NF00825,Adobe Illustrator 12.0,ai|pdf,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,1,1,0,-1,1,0,0,2,1,1,1,0,0,3,2,2,4,-2,1,1,-2,-2,0,0,0,-1,-1,0,2,0,0,-1,1,2005,-4,,-4,-8,3.00,Moderate Risk,0.001,-5,3,1
,,3.00,Moderate Risk,NF00826,Adobe Illustrator 13.0,ai|pdf,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,1,1,0,-1,1,0,0,2,1,1,1,0,0,3,2,2,4,-2,1,1,-2,-2,0,0,0,-1,-1,0,2,0,0,-1,1,2007,-4,,-4,-8,3.00,Moderate Risk,0.001,-5,3,1
,,5.00,Moderate Risk,NF00827,Adobe Illustrator 14.0,ai|pdf,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,1,1,0,-1,1,0,0,2,1,1,1,0,0,3,2,2,4,-2,1,1,-2,-2,0,0,0,-1,-1,0,2,0,0,-1,1,2008,-2,,-4,-6,5.00,Moderate Risk,0.001,-5,3,3
,,7.00,Moderate Risk,NF00669,Adobe Illustrator 3.0/3.2,ai,Digital Design and Vector Graphics,-1,2,2,-2,0,1,2,2,2,2,-1,7,1,1,0,-1,1,0,0,2,1,1,1,0,0,3,2,2,4,-2,1,1,-2,-2,0,0,0,-1,-1,0,2,0,0,-1,1,1990,-4,1991,-4,-8,7.00,Moderate Risk,0.001,-5,3,5
,,3.00,Moderate Risk,NF00670,Adobe Illustrator 4.0,ai,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,1,1,0,-1,1,0,0,2,1,1,1,0,0,3,2,2,4,-2,1,1,-2,-2,0,0,0,-1,-1,0,2,0,0,-1,1,1992,-4,1992,-4,-8,3.00,Moderate Risk,0.001,-5,3,1
,,3.00,Moderate Risk,NF00671,Adobe Illustrator 5.0/5.5,ai,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,1,1,0,-1,1,0,0,2,1,1,1,0,0,3,2,2,4,-2,1,1,-2,-2,0,0,0,-1,-1,0,2,0,0,-1,1,1993,-4,1996,-4,-8,3.00,Moderate Risk,0.001,-5,3,1
,,3.00,Moderate Risk,NF00672,Adobe Illustrator 6.0,ai|pdf,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,1,1,0,-1,1,0,0,2,1,1,1,0,0,3,2,2,4,-2,1,1,-2,-2,0,0,0,-1,-1,0,2,0,0,-1,1,1996,-4,1996,-4,-8,3.00,Moderate Risk,0.001,-5,3,1
,,3.00,Moderate Risk,NF00673,Adobe Illustrator 7.0,ai|pdf,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,1,1,0,-1,1,0,0,2,1,1,1,0,0,3,2,2,4,-2,1,1,-2,-2,0,0,0,-1,-1,0,2,0,0,-1,1,1997,-4,1997,-4,-8,3.00,Moderate Risk,0.001,-5,3,1
,,9.00,Moderate Risk,NF00674,Adobe Illustrator 8.0,ai|pdf,Digital Design and Vector Graphics,-1,2,2,-2,2,3,2,2,2,2,-1,7,1,1,0,-1,1,0,0,2,1,1,1,0,0,3,2,2,4,-2,1,1,-2,-2,0,0,0,-1,-1,0,2,0,0,-1,1,1998,-4,1998,-4,-8,9.00,Moderate Risk,0.001,-5,3,7
,,3.00,Moderate Risk,NF00675,Adobe Illustrator 9.0,ai|pdf,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,2,2,2,2,-1,7,1,1,0,-1,1,0,0,2,1,1,1,0,0,3,2,2,4,-2,1,1,-2,-2,0,0,0,-1,-1,0,2,0,0,-1,1,2000,-4,2000,-4,-8,3.00,Moderate Risk,0.001,-5,3,1
,,5.00,Moderate Risk,NF00667,Adobe Illustrator unspecified version,ai|pdf,Digital Design and Vector Graphics,-1,0,2,-2,0,-1,2,2,2,2,-1,7,1,1,0,-1,1,0,0,2,1,1,1,0,0,3,2,2,4,-2,1,1,-2,-2,0,0,0,-1,-1,0,2,0,0,-1,1,1987,-4,,-4,-8,5.00,Moderate Risk,0.001,-5,3,3
,,9.00,Moderate Risk,NF00103,Adobe InDesign Document CS,ind|indd,Presentation and Publishing,-1,-1,2,0,0,0,0,2,2,2,-1,5,0,0,0,-1,1,1,0,1,1,0,1,0,0,2,2,2,4,1,1,1,1,4,0,0,0,-1,-1,0,2,0,0,0,2,2003,-4,,-4,-8,9.00,Moderate Risk,0.000,-5,3,7
,,9.00,Moderate Risk,NF00463,Adobe InDesign Document CS2,ind|indd,Presentation and Publishing,-1,-1,2,0,0,0,0,2,2,2,-1,5,0,0,0,-1,1,1,0,1,1,0,1,0,0,2,2,2,4,1,1,1,1,4,0,0,0,-1,-1,0,2,0,0,0,2,2005,-4,2005,-4,-8,9.00,Moderate Risk,0.000,-5,3,7
,,9.00,Moderate Risk,NF00464,Adobe InDesign Document CS3,ind|indd,Presentation and Publishing,-1,-1,2,0,0,0,0,2,2,2,-1,5,0,0,0,-1,1,1,0,1,1,0,1,0,0,2,2,2,4,1,1,1,1,4,0,0,0,-1,-1,0,2,0,0,0,2,2007,-4,2007,-4,-8,9.00,Moderate Risk,0.000,-5,3,7
,,13.00,Moderate Risk,NF00465,Adobe InDesign Document CS4,ind|indd,Presentation and Publishing,-1,-1,2,0,0,0,0,2,2,2,-1,5,0,0,0,-1,1,1,0,1,1,0,1,0,0,2,2,2,4,1,1,1,1,4,0,0,0,-1,-1,0,2,0,0,0,2,2008,-2,2008,-2,-4,13.00,Moderate Risk,0.000,-5,3,11
,,13.00,Moderate Risk,NF00466,Adobe InDesign Document CS5,ind|indd,Presentation and Publishing,-1,-1,2,0,0,0,0,2,2,2,-1,5,0,0,0,-1,1,1,0,1,1,0,1,0,0,2,2,2,4,1,1,1,1,4,0,0,0,-1,-1,0,2,0,0,0,2,2010,-2,2010,-2,-4,13.00,Moderate Risk,0.000,-5,3,11
,,13.00,Moderate Risk,NF00467,Adobe InDesign Document CS6,ind|indd,Presentation and Publishing,-1,-1,2,0,0,0,0,2,2,2,-1,5,0,0,0,-1,1,1,0,1,1,0,1,0,0,2,2,2,4,1,1,1,1,4,0,0,0,-1,-1,0,2,0,0,0,2,2012,-2,2012,-2,-4,13.00,Moderate Risk,0.000,-5,3,11
,,11.00,Moderate Risk,NF00648,Adobe InDesign Document unspecified version,ind|indd,Presentation and Publishing,-1,-1,2,0,0,0,2,2,2,2,-1,7,0,0,0,-1,1,1,0,1,1,0,1,0,0,2,2,2,4,1,1,1,1,4,0,0,0,-1,-1,0,2,0,0,0,2,2000,-4,,-4,-8,11.00,Moderate Risk,0.002,-5,3,9
,,-5.00,Moderate Risk,NF00537,Adobe Localization File,zdct,Software and Code,-1,-1,-1,-2,0,-5,0,0,0,-1,-1,-2,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,4,-2,0,1,-2,-3,0,0,0,-1,-1,2,2,0,0,2,6,1987,-4,2020,0,-4,-5.00,Moderate Risk,0.000,-5,5,-5
,,0.00,Moderate Risk,NF00104,Adobe PhotoDeluxe,pdd,Digital Still Image,-1,-1,-1,-2,-1,-6,0,0,-1,2,-1,0,0,1,1,-1,1,0,0,2,0,1,1,-1,2,3,2,2,4,1,1,1,1,4,-1,1,1,0,1,0,0,0,0,0,0,1996,-4,2002,-4,-8,0.00,Moderate Risk,0.000,-5,3,-2
,,13.00,Moderate Risk,NF00105,Adobe Photoshop,psd,Digital Still Image,-1,2,2,-2,1,2,2,2,2,2,-1,7,1,1,1,-1,1,0,1,4,0,1,1,-1,2,3,2,2,4,1,-2,1,-2,-2,-1,1,0,-1,-1,0,0,0,0,0,0,1990,-4,2019,0,-4,13.00,Moderate Risk,0.003,-5,3,11
,,9.00,Moderate Risk,NF00697,Adobe Photoshop Duotone Options,ado,Software and Code,-1,2,-1,-2,2,0,2,2,2,-1,-1,4,1,1,0,-1,1,0,0,2,-1,1,0,0,0,0,2,2,4,-2,0,1,-2,-3,0,0,0,0,0,2,2,0,2,0,6,1990,-4,2019,0,-4,9.00,Moderate Risk,0.002,-5,5,9
,,3.00,Moderate Risk,NF00818,Adobe Premiere Pro Project,prproj,Digital Video,-1,-1,-1,-2,-1,-6,0,2,2,0,-1,3,1,0,1,-1,1,-1,0,1,1,1,1,0,2,5,2,2,4,1,1,1,1,4,0,0,0,-1,-1,-1,0,-1,-1,0,-3,2003,-4,2022,0,-4,3.00,Moderate Risk,0.000,-5,3,1
,,18.00,Moderate Risk,NF00538,Adobe Type 1 PostScript Adobe Font Metrics or Print Font Metrics File,pfm|afm,Software and Code,2,2,2,2,2,10,0,2,2,2,-1,5,1,0,0,1,1,1,0,4,-1,1,-1,0,0,-1,2,2,4,-2,-2,1,-2,-5,1,0,0,-1,0,2,2,2,-1,2,7,1984,-4,2012,-2,-6,18.00,Moderate Risk,0.001,-5,5,18
,,17.00,Moderate Risk,NF00386,Adobe Type 1 PostScript Printer Font Binary,pfb,Software and Code,2,2,2,2,2,10,0,2,2,2,-1,5,-1,1,0,1,1,1,0,3,-1,1,-1,0,0,-1,2,2,4,-2,-2,1,-2,-5,1,0,0,-1,0,2,2,2,-1,2,7,1984,-4,2012,-2,-6,17.00,Moderate Risk,0.000,-5,5,17
,,39.00,Low Risk,NF00106,Advanced Audio Coding (AAC) MPEG-2 Audio,aac,Digital Audio,2,2,2,2,2,10,0,2,1,1,1,5,1,1,1,1,1,-1,0,4,-1,1,1,2,2,5,2,2,4,1,1,1,1,4,1,1,0,-1,1,2,2,2,2,2,10,2003,-4,2019,0,-4,39.00,Low Risk,0.000,-5,3,37
,,25.00,Low Risk,NF00108,Advanced Audio Coding MPEG-4 Low Complexity Object,aac|mp4|m4a,Digital Audio,2,2,2,2,2,10,0,0,2,2,-1,3,-1,1,1,1,1,-1,-1,1,-1,1,-1,2,2,3,2,2,4,1,1,1,1,4,1,1,1,-1,2,2,2,-1,-1,2,4,2001,-4,2009,-2,-6,25.00,Low Risk,0.000,-5,3,23
,,5.00,Moderate Risk,NF00109,Advanced Systems Format unspecified version,asf,Digital Video|Digital Audio,-1,2,2,-2,2,3,0,0,2,2,-1,3,-1,1,1,1,1,-1,-1,1,1,1,1,-1,2,4,2,2,4,1,1,-2,1,1,-1,-1,-1,-1,-4,-1,2,-1,-1,0,-1,2003,-4,2012,-2,-6,5.00,Moderate Risk,0.002,-5,3,3
X,,38.00,Low Risk,NF00113,American Standard Code for Information Interchange (ASCII) 7-bit Text,txt|asc|csv|tab,Textual and Word Processing,2,2,2,2,2,10,0,0,2,2,2,6,1,1,1,1,1,1,0,6,0,1,1,2,2,6,2,2,4,1,1,1,1,4,1,1,0,0,2,2,2,2,0,2,8,1963,-4,1991,-4,-8,38.00,Low Risk,0.993,-5,5,38
,,42.00,Low Risk,NF00114,American Standard Code for Information Interchange (ASCII) 8-bit Text,txt|asc|csv|tab,Textual and Word Processing,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,1,1,1,0,6,0,1,1,2,2,6,2,2,4,1,1,1,1,4,1,1,0,0,2,2,2,2,0,2,8,1963,-4,1998,-4,-8,42.00,Low Risk,1.155,-5,5,42
X,,40.00,Low Risk,NF00429,"American Standard Code for Information Interchange (ASCII), Extended, Variable-width encoding Unicode (Universal Coded Character Set) Transformation Format (UTF)",txt|utf|utf8|utf16,Textual and Word Processing,2,2,0,2,2,8,0,2,2,2,2,8,1,1,1,1,1,1,1,7,-1,1,-1,2,0,1,2,2,4,1,1,1,1,4,1,1,1,1,4,2,2,2,2,2,10,1993,-4,2017,-2,-6,40.00,Low Risk,0.989,-5,5,40
,,-17.00,High Risk,NF00819,Apple Final Cut Pro Project,fcp,Digital Video,-1,-1,-1,-2,-1,-6,0,2,-1,0,-1,0,-1,-1,0,-1,-1,0,0,-4,0,0,0,0,0,0,2,2,4,-2,1,-2,1,-2,-1,0,0,-1,-2,0,0,0,-1,0,-1,1999,-4,2012,-2,-6,-17.00,High Risk,0.000,-5,-3,-25
,,-4.00,Moderate Risk,NF00110,Apple Macintosh Desktop Services Store,DS_STORE,Software and Code,-1,-1,0,-2,0,-4,0,0,2,-1,-1,0,-1,0,0,-1,1,1,1,1,-1,0,0,0,0,-1,2,2,4,-2,1,-2,-2,-5,0,0,0,-1,-1,2,2,2,0,2,8,1984,-4,2012,-2,-6,-4.00,Moderate Risk,0.001,-5,5,-4
,,-18.00,High Risk,NF00815,Apple Soundtrack Pro Project,stmp,Digital Audio,-1,-1,-1,-2,-1,-6,0,0,0,-1,-1,-2,-1,0,0,-1,-1,0,-1,-4,0,0,0,0,0,0,2,2,4,-2,1,-2,1,-2,0,0,0,-1,-1,0,0,0,-1,0,-1,2005,-4,2009,-2,-6,-18.00,High Risk,0.000,-5,-3,-26
,,4.00,Moderate Risk,NF00780,Apple Video file,m4v,Digital Video,-1,-1,2,-2,0,-2,0,0,2,2,-1,3,-1,1,1,-1,1,-1,0,0,1,1,1,2,2,7,2,2,4,0,1,1,1,3,-1,-1,0,-1,-3,-1,0,-1,-1,-1,-4,2003,-4,2020,0,-4,4.00,Moderate Risk,0.000,-5,3,2
,,2.00,Moderate Risk,NF00720,Archicad Template File,tpl,Digital Design and Vector Graphics,-1,-1,0,0,0,-2,2,2,2,0,-1,5,-1,0,0,-1,1,0,0,-1,0,0,0,0,0,0,2,2,4,-2,0,1,-2,-3,0,0,0,-1,-1,0,2,2,0,0,4,1987,-4,2020,0,-4,2.00,Moderate Risk,0.000,-5,5,2
,,31.00,Low Risk,NF00735,ASP.NET HTTP Handler File,axd,Software and Code,-1,2,2,-2,2,3,2,2,-1,2,-1,4,1,1,2,1,1,1,1,8,1,1,1,0,2,5,2,2,4,1,1,1,1,4,1,0,0,0,1,2,2,0,0,2,6,2002,-4,2019,0,-4,31.00,Low Risk,0.000,-5,5,31
,,-23.00,High Risk,NF00773,Atari ST Self-extracting file archive,tp,Software and Code,-1,-1,-1,-2,0,-5,0,0,-1,-1,-1,-3,-1,0,0,-1,-1,0,0,-3,0,0,0,0,0,0,-4,2,-2,-2,0,-2,-2,-6,0,0,0,0,0,0,0,0,2,2,4,1985,-4,1993,-4,-8,-23.00,High Risk,0.000,-5,5,-23
,X,26.00,Low Risk,NF00115,Audio Interchange Format (AIFF),aiff|aif,Digital Audio,-1,2,2,2,2,7,0,2,2,2,1,7,1,1,1,1,1,1,-1,5,1,1,1,-1,2,4,2,2,4,1,1,1,1,4,1,0,1,0,2,-1,2,-1,-1,2,1,1988,-4,1989,-4,-8,26.00,Low Risk,0.000,-5,5,26
,X,30.00,Low Risk,NF00116,Audio Interchange Format with LPCM Audio,aiff|aif,Digital Audio,-1,2,2,2,2,7,0,2,2,2,1,7,1,1,1,0,1,1,-1,4,1,1,1,-1,2,4,2,2,4,1,1,1,1,4,1,0,0,0,1,2,2,2,-1,2,7,1982,-4,1988,-4,-8,30.00,Low Risk,0.000,-5,5,30
,X,24.00,Low Risk,NF00117,Audio Video Interleave Format (AVI),avi,Digital Video,-1,2,2,2,2,7,0,2,-1,2,2,5,-1,-1,1,1,1,1,1,3,1,1,1,-1,2,4,2,2,4,1,-2,1,-2,-2,1,0,1,1,3,2,2,2,0,2,8,1992,-4,2006,-4,-8,24.00,Low Risk,0.000,-5,5,24
,,-7.00,Moderate Risk,NF00122,AutoCAD component: Block Attribute Template,bkl,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,0,2,2,2,-1,5,-1,-1,-1,-1,-1,1,1,-3,-1,-1,-1,-1,-1,-5,2,2,4,-2,-2,1,1,-2,-1,0,0,0,-1,0,2,2,0,2,6,2002,-4,2002,-4,-8,-7.00,Moderate Risk,0.000,-5,3,-9
,,-7.00,Moderate Risk,NF00123,AutoCAD component: Colour-Dependant Plot Style Table,ctb,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,0,2,2,2,-1,5,-1,-1,-1,-1,-1,1,1,-3,-1,-1,-1,-1,-1,-5,2,2,4,-2,-2,1,1,-2,-1,0,0,0,-1,0,2,2,0,2,6,2002,-4,2002,-4,-8,-7.00,Moderate Risk,0.000,-5,3,-9
,,-7.00,Moderate Risk,NF00124,AutoCAD component: Compiled Menu,mnc,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,0,2,2,2,-1,5,-1,-1,-1,-1,-1,1,1,-3,-1,-1,-1,-1,-1,-5,2,2,4,-2,-2,1,1,-2,-1,0,0,0,-1,0,2,2,0,2,6,2002,-4,2002,-4,-8,-7.00,Moderate Risk,0.000,-5,3,-9
,,-7.00,Moderate Risk,NF00125,AutoCAD component: Custom Dictionary,cus,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,0,2,2,2,-1,5,-1,-1,-1,-1,-1,1,1,-3,-1,-1,-1,-1,-1,-5,2,2,4,-2,-2,1,1,-2,-1,0,0,0,-1,0,2,2,0,2,6,2002,-4,2002,-4,-8,-7.00,Moderate Risk,0.000,-5,3,-9
,,-7.00,Moderate Risk,NF00126,AutoCAD component: dbConnect Template Set,dbt,Digital Design and Vector Graphics|Databases,-1,-1,2,-2,-1,-3,0,2,2,2,-1,5,-1,-1,-1,-1,-1,1,1,-3,-1,-1,-1,-1,-1,-5,2,2,4,-2,-2,1,1,-2,-1,0,0,0,-1,0,2,2,0,2,6,2001,-4,2001,-4,-8,-7.00,Moderate Risk,0.000,-5,3,-9
,,-7.00,Moderate Risk,NF00127,AutoCAD component: Linetype Definition File,lin,Digital Design and Vector Graphics,-1,-1,2,-2,-1,-3,0,2,2,2,-1,5,-1,-1,-1,-1,-1,1,1,-3,-1,-1,-1,-1,-1,-5,2,2,4,-2,-2,1,1,-2,-1,0,0,0,-1,0,2,2,0,2,6,,-4,,-4,-8,-7.00,Moderate Risk,0.000,-5,3,-9
